ID,quality-score,pixels added through insertion/deletion,total number of changed pixels,pixels total in original,changed pixels as percent of pixels in original,number of pixels in bigger image,changed pixels as percent of pixels in bigger image,insertion-deletion-error,total-number-of-changed-pixels,pixels-total-in-original,changed-pixels-as-percent-of-pixels-in-original,number-of-pixels-in-bigger-image,changed-pixels-as-percent-of-pixels-in-bigger-image,count,shifts total,shiftsToTop,shiftsToTopRight,shiftsToRight,shiftsToBottomRight,shiftsToBottom,shiftsToBottomLeft,shiftsToLeft,shiftsToTopLeft,small shifts total,small shiftsToTop,small shiftsToTopRight,small shiftsToRight,small shiftsToBottomRight,small shiftsToBottom,small shiftsToBottomLeft,small shiftsToLeft,small shiftsToTopLeft,big shifts total,big shiftsToTop,big shiftsToTopRight,big shiftsToRight,big shiftsToBottomRight,big shiftsToBottom,big shiftsToBottomLeft,big shiftsToLeft,big shiftsToTopLeft
39,4,2297612,2739688,4291972,63.832848,4291972,63.832848,0,2739688,4291972,63.832848,4291972,63.832848,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,2188332,2630817,4182692,62.897697,4182692,62.897697,0,2631094,4182692,62.904324,4182692,62.904324,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4,2242972,2685332,4237332,63.373177,4237332,63.373177,0,2685332,4237332,63.373177,4237332,63.373177,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4,2188332,2630817,4182692,62.897697,4182692,62.897697,0,2631094,4182692,62.904324,4182692,62.904324,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,2242972,2685327,4281044,62.725986,4281044,62.725986,0,2685327,4281044,62.725986,4281044,62.725986,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4,2215652,2661125,4233234,62.862694,4233234,62.862694,0,2661125,4233234,62.862694,4233234,62.862694,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,2242972,2685332,4237332,63.373177,4237332,63.373177,0,2685332,4237332,63.373177,4237332,63.373177,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4,2352252,2794645,4346612,64.29479,4346612,64.29479,0,2794645,4346612,64.29479,4346612,64.29479,1018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
47,4,2297612,2740133,4291972,63.84322,4291972,63.84322,0,2740410,4291972,63.84967,4291972,63.84967,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4,2352252,2794645,4346612,64.29479,4346612,64.29479,0,2794645,4346612,64.29479,4346612,64.29479,1072,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
49,4,2324932,3067607,4611616,66.519135,4611616,66.519135,0,3067607,4611616,66.519135,4611616,66.519135,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4,2324932,3067607,4611616,66.519135,4611616,66.519135,0,3067607,4611616,66.519135,4611616,66.519135,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4,2324932,2766923,4319292,64.05964,4319292,64.05964,0,2766923,4319292,64.05964,4319292,64.05964,1012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
52,4,2352252,2794645,4346612,64.29479,4346612,64.29479,0,2794645,4346612,64.29479,4346612,64.29479,1001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
53,4,2352252,3094925,4638936,66.71627,4638936,66.71627,0,3094925,4638936,66.71627,4638936,66.71627,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4,2324932,3067606,4611616,66.51911,4611616,66.51911,0,3067606,4611616,66.51911,4611616,66.51911,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4,2352252,3094925,4638936,66.71627,4638936,66.71627,0,3094925,4638936,66.71627,4638936,66.71627,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,4,2352252,2794645,4346612,64.29479,4346612,64.29479,0,2794645,4346612,64.29479,4346612,64.29479,1052,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
57,4,2324932,2766923,4319292,64.05964,4319292,64.05964,0,2766923,4319292,64.05964,4319292,64.05964,1054,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
59,1,297788,794936,8230150,9.658828,8527938,9.32155,0,497148,8230150,6.0405703,8230150,6.0405703,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,0,150144,7854500,1.9115666,7854500,1.9115666,0,151836,7854500,1.9331084,7854500,1.9331084,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2,0,178767,2350886,7.6042395,2350886,7.6042395,0,178767,2350886,7.6042395,2350886,7.6042395,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,5,0,565772,6306822,8.970794,6306822,8.970794,0,565772,6306822,8.970794,6306822,8.970794,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,5,0,675685,6306822,10.713557,6306822,10.713557,0,675685,6306822,10.713557,6306822,10.713557,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2,122940,441032,3253812,13.554317,3376752,13.060835,0,319468,3253812,9.818269,3253812,9.818269,230,6,3,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0
69,1,0,120211,3782454,3.178122,3782454,3.178122,0,120211,3782454,3.178122,3782454,3.178122,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,0,364265,11628758,3.1324496,11628758,3.1324496,0,316428,11628758,2.7210817,11628758,2.7210817,990,13,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0
73,2,0,942992,10279150,9.173833,10279150,9.173833,0,942992,10279150,9.173833,10279150,9.173833,1238,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
